City_Name,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
4,Progreso,MX,82.11,clear sky,21.2833,-89.6667,
5,Biak,ID,83.35,overcast clouds,-0.9131,122.8766,
11,Boa Vista,BR,82.38,scattered clouds,2.8197,-60.6733,
14,Socorro,US,82.18,few clouds,31.6546,-106.3033,
16,Atuona,PF,79.74,few clouds,-9.8,-139.0333,
17,Butaritari,KI,81.59,scattered clouds,3.0707,172.7902,
18,Noumea,NC,82.99,scattered clouds,-22.2763,166.4572,
22,Rikitea,PF,78.48,clear sky,-23.1203,-134.9692,
23,Malakal,SS,84.07,clear sky,9.5334,31.6605,
25,Hithadhoo,MV,82.99,scattered clouds,-0.6,73.0833,
26,Kupang,ID,85.55,scattered clouds,-10.1667,123.5833,
32,Cape Coast,GH,79.47,broken clouds,5.1053,-1.2466,
33,Puerto Ayora,EC,75.16,light rain,-0.7393,-90.3518,
53,Hilo,US,76.28,heavy intensity rain,19.7297,-155.09,
64,Mogadishu,SO,82.4,overcast clouds,2.0371,45.3438,
67,Vaini,TO,84.36,broken clouds,-21.2,-175.2,
70,Kapaa,US,82.38,light rain,22.0752,-159.319,
72,Saint George,US,79.39,clear sky,37.1041,-113.5841,
73,Vila Velha,BR,75.15,scattered clouds,-20.3297,-40.2925,
79,Pochutla,MX,81.82,few clouds,15.7432,-96.4661,
87,Raichur,IN,84.87,broken clouds,16.2,77.3667,
104,Hervey Bay,AU,75.83,scattered clouds,-25.2986,152.8535,
108,Ballina,AU,75.38,overcast clouds,-28.8667,153.5667,
111,Atambua,ID,83.57,overcast clouds,-9.1061,124.8925,
113,Lorengau,PG,83.89,scattered clouds,-2.0226,147.2712,
114,Miandrivazo,MG,77.05,clear sky,-19.5167,45.4667,
115,Morondava,MG,79.63,clear sky,-20.2833,44.2833,
116,Forbes,AU,78.93,overcast clouds,-33.3833,148.0167,
119,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,
125,Makakilo City,US,77.32,overcast clouds,21.3469,-158.0858,
127,Kavieng,PG,85.95,scattered clouds,-2.5744,150.7967,
128,Kailua,US,78.78,light rain,21.4022,-157.7394,
130,Cabo San Lucas,MX,83.5,scattered clouds,22.8909,-109.9124,
132,Faanui,PF,81.07,clear sky,-16.4833,-151.75,
157,Dingle,PH,86.05,scattered clouds,10.9995,122.6711,
158,Am Timan,TD,83.8,overcast clouds,11.0297,20.2827,
160,Eyl,SO,81.01,scattered clouds,7.9803,49.8164,
162,Avarua,CK,80.65,few clouds,-21.2078,-159.775,
164,Port-Gentil,GA,80.17,light rain,-0.7193,8.7815,
166,Payo,ID,88.29,broken clouds,-3.7508,103.6372,
171,Maceio,BR,78.24,scattered clouds,-9.6658,-35.7353,
173,Bengkulu,ID,83.01,broken clouds,-3.8004,102.2655,
177,Kapoeta,SS,77.18,overcast clouds,4.7717,33.5903,
179,Papara,BR,81.0,broken clouds,-3.9839,-38.7273,
183,Georgetown,MY,85.93,thunderstorm,5.4112,100.3354,
196,Angicos,BR,75.16,overcast clouds,-5.6656,-36.6011,
198,Isangel,VU,83.37,overcast clouds,-19.55,169.2667,
212,Tiarei,PF,86.02,few clouds,-17.5333,-149.3333,
219,Atar,MR,84.83,overcast clouds,20.5169,-13.0499,
224,Victoria Point,AU,81.45,scattered clouds,-27.5833,153.3,
229,Mahebourg,MU,76.24,thunderstorm with rain,-20.4081,57.7,
231,Jalna,IN,89.69,clear sky,19.8333,75.8833,
234,Malkangiri,IN,89.71,few clouds,18.35,81.9,
235,Kampot,KH,86.05,overcast clouds,10.6167,104.1833,
244,Alyangula,AU,87.67,scattered clouds,-13.8483,136.4192,
245,Biltine,TD,85.82,overcast clouds,14.5333,20.9167,
246,San Patricio,US,76.87,broken clouds,28.017,-97.5169,
248,Tecoanapa,MX,79.25,few clouds,16.5167,-98.75,
251,Hirara,JP,76.86,scattered clouds,24.8,125.2833,
252,Tubuala,PA,79.5,overcast clouds,9.5167,-79.0333,
253,Ojinaga,MX,81.57,clear sky,29.5667,-104.4167,
256,Rock Sound,BS,75.49,clear sky,24.9,-76.2,
271,Tera,NE,81.7,overcast clouds,14.0078,0.7531,
272,Alofi,NU,85.89,overcast clouds,-19.0595,-169.9187,
274,Bilma,NE,76.48,clear sky,18.6853,12.9164,
278,Moratuwa,LK,80.62,overcast clouds,6.773,79.8816,
281,Cockburn Town,TC,77.99,broken clouds,21.4612,-71.1419,
282,Hoi An,VN,85.96,overcast clouds,15.8794,108.335,
285,Teluk Intan,MY,80.62,overcast clouds,4.0259,101.0213,
286,Honiara,SB,84.38,broken clouds,-9.4333,159.95,
290,San Ignacio,BZ,84.34,few clouds,17.1561,-89.0714,
294,Road Town,VG,78.89,scattered clouds,18.4167,-64.6167,
296,Bandarbeyla,SO,80.58,few clouds,9.4942,50.8122,
298,Gat,IL,86.77,few clouds,31.61,34.7642,
302,Namatanai,PG,86.27,overcast clouds,-3.6667,152.4333,
307,Sinnamary,GF,77.16,broken clouds,5.3833,-52.95,
313,Meulaboh,ID,83.66,overcast clouds,4.1363,96.1285,
314,Acapulco,MX,80.42,clear sky,16.8634,-99.8901,
315,Micheweni,TZ,79.07,light rain,-4.9667,39.8333,
316,Morant Bay,JM,80.22,light rain,17.8815,-76.4093,
320,Aswan,EG,79.9,clear sky,24.0934,32.907,
330,Cap Malheureux,MU,76.46,light rain,-19.9842,57.6142,
335,Mecca,SA,78.69,clear sky,21.4267,39.8261,
337,Labuhan,ID,86.4,broken clouds,-6.8844,112.2051,
341,Gizo,SB,84.24,light rain,-8.103,156.8419,
343,Broken Hill,AU,83.91,scattered clouds,-31.95,141.4333,
354,Coamo,PR,77.76,overcast clouds,18.08,-66.3579,
355,Le Port,RE,75.16,clear sky,-20.9373,55.2919,
359,Lafayette,US,75.97,scattered clouds,30.2335,-92.0668,
360,Maumere,ID,83.84,broken clouds,-8.6199,122.2111,
363,Yulara,AU,78.64,scattered clouds,-25.2406,130.9889,
369,Iranshahr,IR,75.54,haze,27.2025,60.6848,
370,Harur,IN,87.03,scattered clouds,12.0667,78.5,
372,Sulangan,PH,82.72,few clouds,11.1373,123.7228,
374,Key West,US,82.4,few clouds,24.5557,-81.7826,
