City_Name,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Yar-Sale,RU,66.8333,70.8333,15.04,86,100,8.77,overcast clouds
1,Lebu,CL,-37.6167,-73.65,52.25,91,21,7.14,few clouds
2,Namtsy,RU,62.7161,129.6658,33.21,80,100,13.15,overcast clouds
3,Kashary,RU,49.04,41.0056,53.94,68,100,9.33,overcast clouds
4,Progreso,MX,21.2833,-89.6667,82.11,80,0,15.12,clear sky
5,Biak,ID,-0.9131,122.8766,83.35,66,100,1.86,overcast clouds
6,Ushuaia,AR,-54.8,-68.3,44.26,93,100,9.22,overcast clouds
7,Talaya,RU,61.3833,152.75,16.11,71,100,0.94,overcast clouds
8,Albany,US,42.6001,-73.9662,39.58,62,7,1.01,clear sky
9,Punta Arenas,CL,-53.15,-70.9167,42.91,81,75,5.75,broken clouds
10,Kodiak,US,57.79,-152.4072,40.51,65,100,13.8,overcast clouds
11,Boa Vista,BR,2.8197,-60.6733,82.38,65,40,10.36,scattered clouds
12,Esperance,AU,-33.8667,121.9,66.04,58,45,8.84,scattered clouds
13,Longyearbyen,SJ,78.2186,15.6401,21.04,86,100,4.61,light snow
14,Socorro,US,31.6546,-106.3033,82.18,5,20,6.91,few clouds
15,Hofn,IS,64.2539,-15.2082,44.17,72,7,8.81,clear sky
16,Atuona,PF,-9.8,-139.0333,79.74,79,12,18.3,few clouds
17,Butaritari,KI,3.0707,172.7902,81.59,73,30,12.71,scattered clouds
18,Noumea,NC,-22.2763,166.4572,82.99,99,36,8.25,scattered clouds
19,Huron,US,41.1501,-82.5499,36.72,77,55,8.03,broken clouds
20,Grand-Santi,GF,4.25,-54.3833,71.76,99,81,2.35,broken clouds
21,Clyde River,CA,70.4692,-68.5914,-14.57,76,100,4.61,light snow
22,Rikitea,PF,-23.1203,-134.9692,78.48,63,2,10.27,clear sky
23,Malakal,SS,9.5334,31.6605,84.07,46,9,4.34,clear sky
24,Coihaique,CL,-45.5752,-72.0662,52.41,71,100,6.91,overcast clouds
25,Hithadhoo,MV,-0.6,73.0833,82.99,75,29,10.4,scattered clouds
26,Kupang,ID,-10.1667,123.5833,85.55,65,39,2.73,scattered clouds
27,Chokurdakh,RU,70.6333,147.9167,14.13,88,36,4.83,scattered clouds
28,Pacific Grove,US,36.6177,-121.9166,60.03,74,0,4.61,clear sky
29,East London,ZA,-33.0153,27.9116,64.58,83,5,13.53,clear sky
30,Bluff,NZ,-46.6,168.3333,61.81,62,68,2.71,broken clouds
31,New Norfolk,AU,-42.7826,147.0587,60.93,45,100,4.0,overcast clouds
32,Cape Coast,GH,5.1053,-1.2466,79.47,86,77,8.95,broken clouds
33,Puerto Ayora,EC,-0.7393,-90.3518,75.16,95,100,7.2,light rain
34,Humaita,BR,-7.5061,-63.0208,74.08,97,100,0.85,overcast clouds
35,Sembe,CG,1.6481,14.5806,70.23,98,99,1.57,light rain
